precipitation,humidity,temperature,hydro_output
32.68,50.0,2.29,20.71
1.17,41.89,11.39,6.75
13.02,96.99,-1.86,22.04
49.54,32.26,33.93,24.44
81.39,38.19,12.6,48.07
95.29,77.4,3.87,60.79
28.29,60.97,29.69,22.13
58.41,56.2,29.1,36.61
9.13,54.92,8.89,13.31
65.04,71.06,1.43,41.8
8.32,97.52,-4.61,17.07
34.68,77.63,28.89,29.25
95.34,50.03,-7.79,49.4
16.9,49.83,14.83,16.56
24.55,91.55,2.53,25.44
58.01,74.25,-5.75,36.14
37.16,68.94,15.67,33.41
20.57,44.99,29.1,15.03
91.69,58.71,-8.12,48.72
50.81,92.69,7.33,41.53
12.51,91.34,-8.65,18.7
10.76,69.28,17.22,18.6
88.73,66.51,32.45,51.99
1.35,62.91,-6.22,7.42
48.28,30.46,19.3,29.8
72.22,38.79,21.85,42.29
48.88,82.9,14.6,41.51
13.4,59.25,33.99,10.9
89.41,74.17,-7.73,54.28
3.58,90.56,-8.41,11.64
37.09,53.88,13.47,28.36
57.57,45.98,9.51,37.46
80.29,61.85,13.27,50.29
81.04,43.8,24.52,45.64
68.09,83.29,7.51,47.16
37.32,83.92,31.11,30.71
23.76,96.82,9.08,29.07
65.91,81.1,31.79,44.05
69.79,40.05,22.61,39.46
2.84,35.04,5.13,4.92
65.12,31.3,14.24,37.8
30.39,72.09,4.71,27.82
54.33,79.02,-6.09,38.33
44.32,94.03,-4.5,34.65
62.25,62.69,22.34,40.47
95.62,53.36,-2.92,54.84
53.56,43.93,34.37,27.86
41.25,41.53,30.14,26.12
99.04,55.63,-0.34,54.08
43.82,59.64,-1.68,29.37
19.83,74.2,24.24,21.42
18.34,88.71,11.2,24.06
11.28,84.99,1.9,16.77
23.15,38.11,7.45,15.8
32.93,99.37,-0.72,31.07
45.25,91.25,10.38,37.64
95.98,95.81,21.4,64.84
33.38,78.66,13.28,33.51
22.68,65.82,-2.12,19.09
42.79,53.33,17.45,32.21
51.17,77.93,6.58,39.94
57.68,51.3,-6.37,32.45
27.76,66.43,11.96,26.68
19.44,41.57,19.71,14.98
35.14,59.82,17.58,29.72
51.8,61.64,21.46,36.55
4.31,57.49,-9.55,8.21
24.85,89.35,7.11,27.08
40.14,62.26,28.9,30.11
95.64,66.17,6.14,57.63
11.0,49.52,2.29,12.53
93.53,68.85,0.51,54.75
9.37,65.63,25.47,13.86
82.04,48.04,26.11,45.84
33.33,33.51,-6.48,15.68
43.54,75.46,2.21,32.06
10.07,71.93,-4.32,15.06
3.93,58.19,-7.53,7.99
17.6,93.93,-0.14,23.7
8.85,97.97,-7.45,15.61
12.58,73.54,26.63,16.59
58.34,73.99,17.49,41.26
82.66,31.25,32.18,41.54
95.9,45.23,11.94,56.07
70.41,91.06,1.97,50.58
59.89,50.08,33.21,34.23
86.92,98.55,0.24,60.48
7.14,90.0,-2.56,15.46
14.84,92.53,10.73,24.13
36.73,79.37,33.91,29.87
40.55,95.18,-5.59,31.54
30.19,34.65,31.63,17.29
63.55,93.37,-2.73,43.34
32.58,85.41,2.68,29.54
58.6,93.93,32.84,42.64
33.46,81.35,33.81,28.96
18.54,98.03,34.86,24.46
97.16,78.95,2.27,60.97
78.31,61.83,15.35,51.48
40.48,91.86,4.74,34.57
58.54,86.56,17.04,47.66
24.65,44.87,-6.45,13.03
61.34,78.16,10.26,45.51
15.6,36.06,-4.9,9.73
21.31,91.66,19.87,27.78
28.01,61.31,-7.13,20.22
46.35,64.44,8.77,35.63
7.5,64.34,12.9,16.65
62.11,44.05,23.06,37.67
65.83,76.78,8.83,44.89
14.02,46.65,-6.83,8.24
69.22,82.2,21.25,47.6
76.58,62.83,19.76,47.82
