temperature,humidity,wind_speed,precipitation,solar_output
26.01,73.57,6.19,8.79,8.84
23.96,85.1,6.95,1.08,10.19
13.78,45.85,6.61,12.18,8.55
10.33,60.57,9.11,7.21,8.43
12.15,22.96,6.68,10.56,13.93
20.04,83.26,6.9,2.4,8.21
30.23,59.62,8.11,7.6,17.01
35.38,69.66,3.68,8.32,17.0
12.62,52.43,1.85,5.33,10.55
13.73,17.42,4.1,17.3,12.52
40.93,71.66,7.28,5.61,17.0
25.74,48.81,5.25,12.45,12.08
18.06,41.57,2.42,9.8,14.19
22.88,56.42,4.72,3.56,15.57
40.92,48.92,2.52,15.51,18.32
35.01,71.07,9.09,8.66,14.59
28.72,69.76,5.11,16.59,9.71
11.76,84.27,3.32,19.98,0.0
10.19,28.59,3.59,5.51,13.92
24.56,39.47,0.82,9.55,17.23
31.34,78.03,5.28,16.48,9.55
40.77,51.48,9.23,18.92,15.77
22.81,10.59,6.62,4.48,23.95
24.78,42.41,6.15,14.79,11.79
42.02,56.95,0.54,11.75,20.25
33.71,73.4,3.01,4.48,18.23
19.37,74.68,5.77,11.95,7.63
35.42,72.77,3.99,15.19,10.44
12.65,82.15,5.57,15.83,0.0
41.75,70.29,9.66,19.2,10.75
18.01,40.77,9.43,6.75,15.53
17.81,50.71,1.33,6.78,12.49
12.79,81.95,1.79,0.74,8.77
23.34,66.49,0.52,11.81,10.74
13.73,24.2,4.18,16.71,11.77
30.64,61.08,5.65,18.04,8.85
18.09,77.85,0.62,3.44,10.43
26.82,58.56,7.48,9.53,13.51
40.16,76.7,1.75,17.51,10.53
39.56,73.33,6.06,4.49,18.11
33.15,60.17,8.44,4.14,18.08
20.02,69.75,3.91,0.36,15.23
42.74,60.46,6.02,19.19,16.77
11.99,82.04,6.81,17.89,0.0
33.44,50.84,7.89,7.01,17.97
42.52,77.1,0.98,9.19,16.89
40.29,45.53,9.8,0.53,23.95
21.47,42.08,0.95,10.46,15.58
25.65,33.21,8.9,8.38,19.35
34.94,71.45,5.57,13.21,12.9
24.16,78.14,9.72,15.96,4.39
19.91,54.11,2.44,16.59,7.35
28.99,53.21,4.15,11.98,15.58
11.54,14.22,2.16,4.93,18.96
44.39,48.3,5.13,7.12,25.68
37.66,88.12,4.5,1.49,15.28
32.77,38.1,4.86,4.14,23.28
26.55,55.58,8.87,7.78,14.14
43.44,47.84,1.0,5.89,24.23
25.08,60.42,4.41,9.72,11.76
40.58,29.67,6.65,11.48,24.17
38.43,83.77,7.36,2.81,16.72
25.16,11.88,1.42,13.43,21.88
34.84,50.28,8.48,17.03,15.7
14.66,22.57,5.98,18.95,13.11
36.71,20.12,6.66,12.22,22.43
22.25,84.48,8.94,14.72,2.71
40.77,54.33,9.21,8.31,20.86
15.59,23.68,3.05,7.77,16.03
11.93,31.36,4.24,0.64,19.51
29.53,78.45,1.93,11.31,11.29
19.14,73.92,8.57,0.64,11.39
41.97,54.59,2.87,1.68,22.83
10.6,54.03,2.05,16.2,4.1
20.93,53.36,5.19,14.3,11.95
12.19,68.46,8.23,11.07,6.26
42.66,32.72,8.26,7.33,27.93
33.88,75.56,7.15,4.21,16.35
36.51,87.13,6.84,2.15,14.14
19.93,22.47,7.18,6.95,19.42
35.17,71.05,3.52,2.1,19.11
27.9,54.02,2.94,4.12,18.63
31.97,11.13,9.67,2.03,29.38
34.77,38.2,8.75,8.65,21.59
23.68,43.61,1.35,6.18,15.66
23.9,37.44,3.27,12.23,15.56
12.16,47.98,8.9,8.29,9.65
36.04,27.5,5.63,2.58,27.68
20.23,25.28,7.87,12.65,16.42
26.01,36.14,1.15,3.78,21.9
17.08,13.86,5.12,10.9,18.07
41.12,72.49,0.69,17.72,13.69
28.82,31.29,8.19,3.8,21.41
25.5,60.43,7.03,1.84,16.62
43.55,22.53,5.49,7.39,28.28
41.36,39.66,7.38,18.96,19.92
27.45,34.77,9.3,14.85,15.8
15.48,37.8,4.99,8.86,14.15
37.28,80.45,5.54,5.5,14.73
13.74,18.41,5.04,10.38,16.87
15.1,78.6,2.37,17.52,0.88
25.75,89.69,3.56,4.03,11.69
24.51,35.91,2.71,18.56,13.49
29.52,58.79,4.41,15.53,12.26
30.05,78.11,4.73,18.36,7.09
