temperature,humidity,wind_speed,thermal_output
35.19,70.78,2.37,0.92
28.88,97.55,12.95,0.0
11.83,23.4,19.86,0.0
-4.44,93.42,13.11,0.0
37.04,27.37,13.27,5.95
44.54,65.48,19.68,0.54
6.99,27.54,7.65,0.0
42.09,30.46,3.76,10.5
35.38,45.22,4.72,6.27
22.59,38.08,5.35,0.15
-6.23,95.31,11.04,0.0
41.86,55.22,13.44,3.49
6.22,93.91,8.04,0.0
-1.42,71.89,2.12,0.0
22.06,70.09,15.88,0.0
20.18,46.04,7.37,0.0
43.98,62.32,18.66,4.0
31.39,22.47,13.08,5.22
21.33,44.96,10.82,0.0
33.41,95.08,2.82,0.0
32.7,54.97,5.72,2.86
19.92,58.12,2.56,0.0
5.52,88.12,11.07,0.0
24.09,84.86,17.88,0.0
11.15,26.24,4.47,0.0
-7.35,20.96,2.25,0.0
22.21,64.47,9.94,0.0
11.04,72.73,6.29,0.0
35.9,57.79,0.74,2.41
11.67,98.51,7.92,0.0
36.61,41.33,5.95,6.32
26.81,32.39,9.9,1.96
14.47,56.5,11.45,0.0
22.46,30.25,0.9,1.24
23.62,30.97,18.05,0.0
24.45,44.11,14.37,0.0
33.67,60.63,2.54,0.91
36.63,21.32,1.16,10.35
-4.04,43.31,11.83,0.0
16.91,28.09,5.6,0.0
-3.64,48.04,7.91,0.0
33.68,28.49,7.45,5.6
25.99,96.68,12.39,0.0
19.41,74.58,16.66,0.0
9.98,53.08,17.53,0.0
-9.93,51.41,2.04,0.0
40.7,25.01,5.66,10.24
7.2,98.25,18.49,0.0
42.76,89.27,5.21,0.67
12.21,20.56,12.96,0.0
-3.18,85.83,17.41,0.0
14.65,93.1,5.59,0.0
28.49,20.99,15.99,4.06
-4.7,65.93,2.47,0.0
7.12,50.44,6.95,0.0
13.49,92.04,18.02,0.0
14.62,67.27,2.38,0.0
15.16,24.39,17.84,0.0
21.34,92.12,4.75,0.0
17.99,64.97,16.64,0.0
38.93,71.04,9.64,0.4
42.84,51.81,10.98,6.41
3.5,98.47,3.56,0.0
20.54,27.05,7.37,0.0
18.31,68.09,17.16,0.0
2.67,34.6,0.13,0.0
-2.84,80.45,17.68,0.0
-9.43,86.32,7.22,0.0
31.06,31.09,16.81,1.09
44.5,34.67,4.89,12.87
31.84,26.91,9.35,4.13
24.57,23.17,0.86,4.3
24.81,84.15,5.12,0.0
21.77,33.83,18.24,0.0
16.91,55.26,19.21,0.0
0.25,33.8,17.62,0.0
5.29,48.73,7.63,0.0
23.57,80.65,7.65,0.0
40.21,75.68,6.53,0.96
-9.63,80.29,11.52,0.0
-9.98,58.89,5.97,0.0
16.48,76.3,9.15,0.0
41.33,50.33,14.2,2.72
6.47,34.02,2.47,0.0
12.46,94.4,9.81,0.0
37.22,42.25,4.12,6.02
8.34,62.64,12.58,0.0
31.86,73.35,9.24,0.0
10.13,29.06,7.62,0.0
23.75,61.89,17.08,0.0
13.67,20.27,11.24,0.0
-9.94,65.25,3.98,0.0
-1.36,57.8,1.39,0.0
42.57,45.59,4.61,7.23
15.4,28.94,19.9,0.0
4.26,90.06,15.24,0.0
32.38,65.95,16.15,0.0
40.35,23.6,13.24,8.36
38.67,95.26,11.92,0.0
30.35,26.6,14.98,4.05
26.75,85.97,10.82,0.0
35.99,95.78,15.21,0.0
4.89,84.44,19.08,0.0
-9.58,68.42,12.15,0.0
17.17,54.79,1.33,0.0
26.09,34.51,16.92,0.0
42.98,21.18,13.15,11.22
19.18,58.86,5.12,0.0
4.3,29.24,2.87,0.0
43.61,55.35,14.32,3.26
31.75,43.81,16.44,0.66
26.78,74.0,15.75,0.0
30.45,38.01,1.17,5.47
-4.73,62.82,4.57,0.0
0.21,88.2,17.02,0.0
18.69,90.44,5.56,0.0
20.25,45.0,16.59,0.0
18.72,92.88,19.36,0.0
44.34,92.19,12.73,0.15
0.22,94.11,5.77,0.0
32.85,86.91,16.14,0.0
12.76,27.25,16.32,0.0
40.33,69.32,7.14,1.07
10.79,92.56,3.54,0.0
39.62,76.99,9.87,0.0
-6.86,22.06,0.3,0.0
12.31,89.61,5.96,0.0
38.77,83.25,9.3,0.0
29.36,53.79,5.63,0.97
26.79,33.43,18.64,0.0
32.02,85.74,0.9,0.0
1.92,24.28,17.64,0.0
14.13,81.59,14.79,0.0
-8.97,70.59,7.37,0.0
-1.51,44.98,11.58,0.0
39.59,97.78,11.33,0.0
-6.75,39.51,12.38,0.0
14.83,57.23,8.45,0.0
43.1,92.02,15.29,0.0
19.77,95.33,19.43,0.0
31.3,84.49,17.16,0.0
21.33,97.72,1.58,0.0
1.94,90.18,4.26,0.0
18.08,45.58,12.26,0.0
35.73,34.21,13.15,6.21
24.85,44.9,11.82,0.0
4.03,83.89,2.4,0.0
-9.56,39.53,5.0,0.0
27.45,35.36,3.31,1.49
-6.73,22.62,12.1,0.0
30.84,59.21,0.09,0.55
25.43,99.94,7.63,0.0
17.85,99.82,13.16,0.0
22.39,80.29,4.41,0.0
-0.51,98.69,3.47,0.0
19.03,53.35,16.31,0.0
37.76,31.96,18.48,5.9
-5.64,31.8,4.24,0.0
28.01,33.19,8.76,2.18
16.81,68.78,8.96,0.0
40.7,41.55,1.94,8.56
44.3,74.75,17.13,0.67
12.92,93.2,4.65,0.0
38.69,62.84,16.33,1.54
-4.27,77.83,18.75,0.0
-7.41,90.27,19.56,0.0
13.57,43.75,8.59,0.0
10.34,43.19,16.71,0.0
36.86,30.88,12.99,4.87
10.62,88.31,12.55,0.0
1.39,58.31,3.7,0.0
13.7,82.74,7.2,0.0
29.55,83.39,17.39,0.0
32.36,86.91,1.71,0.0
40.77,21.97,14.45,9.1
9.45,89.64,12.77,0.0
31.0,95.8,15.57,0.0
19.29,32.38,4.8,0.0
43.63,92.33,15.75,0.0
33.15,23.05,2.72,9.09
40.46,30.1,13.27,7.81
24.42,90.81,18.92,0.0
26.47,28.46,16.31,0.0
-4.75,53.18,11.83,0.0
7.87,23.06,16.57,0.0
-4.78,43.82,18.07,0.0
-7.18,22.07,13.32,0.0
5.86,82.01,12.12,0.0
-5.33,23.0,5.5,0.0
39.37,40.19,17.96,5.03
19.0,29.35,2.12,0.0
40.04,53.85,1.51,6.16
-3.15,65.66,18.35,0.0
18.53,87.06,19.59,0.0
-0.32,69.37,14.94,0.0
9.85,38.6,5.77,0.0
6.72,27.45,8.86,0.0
6.03,40.14,13.38,0.0
-7.76,26.12,18.47,0.0
6.24,92.96,2.13,0.0
44.22,71.39,16.28,3.0
0.51,57.43,3.91,0.0
7.97,22.1,17.68,0.0
23.61,56.12,16.35,0.0
32.92,97.64,1.6,0.0
6.53,57.89,2.89,0.0
11.45,55.47,1.41,0.0
-7.61,67.41,7.63,0.0
41.84,45.73,9.87,6.83
37.43,26.06,17.53,4.16
10.78,74.94,9.51,0.0
29.05,58.23,19.46,0.0
-9.65,78.01,1.39,0.0
2.3,61.44,5.63,0.0
6.58,77.09,9.94,0.0
38.32,31.41,18.9,5.13
-5.47,39.28,16.44,0.0
14.1,78.25,3.45,0.0
-0.23,90.22,12.21,0.0
20.79,67.31,0.28,0.0
