wind_speed,temperature,pressure,wind_output
7.32,4.02,1045.24,205.56
3.14,-4.3,967.76,15.9
2.28,27.15,1039.03,9.54
13.99,30.49,990.73,1366.16
2.24,28.66,993.86,0.91
6.2,36.37,1041.85,117.64
4.52,24.96,1035.99,49.17
7.35,32.81,972.72,191.39
1.22,-2.63,970.2,1.8
12.54,18.81,1036.19,992.55
7.23,23.43,996.3,186.63
9.47,30.35,1021.24,427.55
12.88,30.9,984.59,1065.32
13.4,25.27,982.44,1202.41
6.42,0.31,959.88,132.46
14.52,33.97,1019.71,1528.32
1.87,2.79,973.62,4.85
3.7,5.57,956.67,23.24
13.98,36.3,959.61,1361.18
1.72,31.37,991.94,2.45
3.31,-0.67,987.72,20.0
2.3,26.16,979.71,3.25
9.57,34.14,1046.68,437.9
11.76,-2.94,1034.68,820.46
2.49,-0.28,1010.76,12.84
5.7,27.43,1001.65,89.34
11.67,-0.98,1027.59,799.93
10.86,6.24,1001.43,641.75
6.85,13.33,1009.01,163.42
7.66,9.15,1023.75,229.25
5.51,7.29,1012.86,89.95
3.07,1.9,1026.03,17.89
10.16,-3.07,950.45,524.37
13.32,14.16,1029.2,1184.55
7.37,21.09,971.01,197.39
3.05,32.62,996.62,14.22
4.36,22.94,985.03,40.71
7.07,32.64,966.59,168.07
6.39,9.25,975.97,127.48
12.48,3.99,1032.55,981.06
8.94,-2.85,1047.11,365.6
9.66,-1.31,1014.51,459.05
14.95,29.84,1049.56,1672.09
13.19,17.85,998.72,1150.23
7.0,3.38,1033.97,177.45
6.76,24.51,1033.16,155.91
14.92,-4.17,979.07,1661.78
10.35,19.02,999.47,553.36
5.77,27.16,1001.31,97.27
10.24,20.59,950.54,531.92
10.91,23.35,970.63,647.69
3.72,21.56,965.69,20.43
6.41,33.36,1013.94,133.39
3.54,-1.46,1040.08,27.76
4.27,9.25,977.25,40.67
1.01,11.56,992.27,0.62
5.98,-4.99,985.04,111.6
10.98,5.77,993.55,661.46
6.96,28.13,1044.79,170.38
9.02,-4.88,992.06,373.99
4.6,10.17,983.38,48.82
5.0,29.73,1041.35,63.63
7.62,7.16,970.4,219.03
12.0,3.26,1002.2,868.22
7.13,7.18,985.74,184.43
2.85,-1.23,992.81,13.0
11.04,28.91,986.47,668.62
7.45,33.8,1048.02,208.34
4.17,30.08,1007.03,33.05
1.15,7.28,960.55,0.0
4.08,11.63,974.77,32.74
13.51,16.13,974.65,1232.37
2.8,18.13,1039.35,12.86
11.96,10.09,968.66,857.21
13.6,19.18,1028.08,1257.83
11.08,-4.48,963.74,681.3
10.44,20.78,1038.58,570.66
14.86,-0.52,1013.36,1648.34
12.53,1.24,974.52,986.76
15.0,34.15,979.16,1681.06
12.94,31.52,986.76,1078.07
2.69,25.89,965.79,4.54
5.04,0.99,1041.68,71.33
6.85,3.09,989.07,163.47
9.81,28.32,978.75,469.38
7.16,34.03,950.5,174.36
3.21,1.98,976.67,18.92
2.6,11.85,979.67,8.24
